Battery Size ,1171
Handle Length (in.) ,1163
Energy Star Qualified ,1156
CA (CARB) Compliant ,1147
Fuel Type ,1146
Fitting or Connector Type ,1145
Push to connect ,1143
Fastener Thread Type ,1139
Exterior Lighting Accessory Type ,1126
Mosaic Sub Unit Length (in.) ,1123
Mosaic Sub Unit Width (in.) ,1123
Battery Power Type ,1121
Paint & Primer in One ,1121
Mount type ,1120
Number of Faucet Handles ,1119
Color Rendering Index ,1118
Average Life (hours) ,1117
Primary Use ,1117
Bulb Diameter (In.) ,1116
Rug Material ,1111
Light Bulb Shape Code ,1110
Rating ,1109
Light Bulb Features ,1105
Backing material ,1101
Area Rug Style ,1100
Approximate Rug Size ,1095
Light Bulb Base Type ,1095
Projection (in.) ,1091
Recommended bulb type ,1090
Adjustable Shelves ,1089
Handle Material ,1086
Motion Sensor ,1086
UL Listing ,1084
Width (in) x Length (in) ,1084
Specialty Bulb Type ,1081
Tint Base ,1073
Bullet17 ,1069
Light Type ,1068
Area Rug Pattern ,1067
Product Size (oz.) ,1064
Faucet Hole Spacing (in.) ,1046
Rug Weave ,1039
Rough Opening Height ,1038
Rough Opening Width ,1038
Sink Type ,1038
Top Width (in.) ,1038
Top Depth (in.) ,1037
Backsplash Height (in.) ,1036
Vanity Top Accommodations ,1036
Patio Furniture Features ,1035
Exact Dry SCOF Rating ,1034
Exact Wet SCOF Rating ,1034
Remote Control ,1027
Door Configuration ,1024
Panel Type ,1024
Vanity Top Edge Type ,1024
Top Material ,1018
Maximum Working Temperature (F) ,1009
Bath Accessory Type ,1008
Maximum Amperage (amps) ,999
Top Color Family ,996
Break Strength (lb.) ,991
Included Items ,989
Wall mounted ,982
Top Color ,977
Cabinet Color Family ,976
Maximum Hanging Length (in.) ,973
Number of concealed shelves ,967
Top Height (in.) ,958
Light Color ,950
Basin Color ,949
Basin Material ,949
Touchless/Touch On ,948
Watt Equivalence ,938
Spout height (in.) ,934
Cabinet Color ,931
Number of Faucet Holes Required ,931
Cabinet Material ,929
Depth With Door Open 90 Degrees (In) ,923
Gauge ,913
Cabinet Width (in.) ,910
Charger Included ,909
Cabinet Depth (in.) ,906
Cabinet Height (in.) ,906
Door Style ,906
Mounting type ,904
Minimum Temperature for Use (F) ,900
Screw Length ,892
Connection ,891
Care Instructions ,887
Head Style ,887
Package quantity ,868
Seat Height (in.) ,857
Door Material ,855
Coated ,853
Fastener Head Style ,848
Door Locks & Knobs Product Type ,846
Trade Size (in.) ,846
Water Resistant ,846
Pattern Number ,844
Security/ANSI Grade ,843
Maximum Bulb Wattage ,822
Tamper Resistant ,822
Insulated ,809
Adjustable hanging length ,807
Driver bit included ,807
Self drilling ,806
Self tapping ,806
Commercial/Residential Use ,802
Product Type ,789
Holiday Decor Product Type ,788
Frame Primary Finish ,783
Maximum Pressure (psi) ,783
Maximum Speed (rpm) ,779
Wheels ,778
Textured ,777
Tintable ,771
Top edge thickness (cm.) ,769
Top weight (lb.) ,769
Window Treatment Product Type ,757
Fire rating ,751
Number of Spray Settings ,746
Timer ,746
Frame/Hardware Finish Family ,744
Faucet Included ,743
Moulding Type ,743
Power Tool Features ,743
Landscape Supply Type ,741
Number of Gangs ,741
Cut-Out Below Counter Depth (in.) ,737
Flexible ,733
Product Diameter (in.) ,732
Connection Size ,726
Storage Capacity (cu. ft.) ,724
Moulding Features ,721
Product Form ,714
Basin Color Family ,713
Product Weight (oz.) ,704
Decorative ,698
Cordless Tool Type ,695
Fasteners included ,694
Showerhead face diameter (in.) ,693
Hinge Finish ,690
Thickness ,690
Number of Blades ,688
Organic ,685
Door Opening Height (In.) ,682
Door Opening Width (In.) ,682
Spray Pattern ,682
Brand/Model Compatibility ,681
Chandelier/Pendant Type ,680
Cushion Color or Pattern ,678
Maximum door thickness (in.) ,676
Variable Speed ,673
Fitting 1 size ,670
Fitting 2 size ,668
Rust Resistant ,667
Jamb Size (in.) ,665
Blade Length (In.) ,664
Start Type ,663
Energy Efficiency Tier Rating ,660
Bit Material ,652
Minimum door thickness (in.) ,652
Glazed ,649
Number of Batteries Required ,647
Rot Resistant ,646
Fill Material ,642
Double Hinged ,640
Tub/Shower ,640
Hardwired or Plug-In ,638
Pro Pack ,638
Door Height (in.) ,637
Door Width (in.) ,637
Drill Bit Type ,630
Recommended Fastener ,630
Handle Style ,629
Glass Type ,625
Door Glass Thickness (in.) ,621
Frame Type ,621
Washable ,620
Electrical Features ,618
Head diameter (in.) ,617
Horsepower (hp) ,611
Sample ,611
UV Protected ,611
Number of Bowls ,610
Sink Features ,610
Brand compatibility ,609
Color Temperature ,609
Handle Finish ,609
Kitchen Sink Front to Back Width (In.) ,609
Kitchen Sink Left to Right Length (In.) ,609
Kitchen Sink Top to Bottom Depth (in.) ,608
Shade Diameter (in.) ,607
Material Cut ,604
Toilet Included Components ,603
Installable over Cork Underlayment ,602
Scratch Resistant ,602
Water capacity (gallons) ,601
Drill Bit Type(s) Included ,597
Machine Washable ,597
Ignition Type ,596
Cabinet Construction ,595
Engine Displacement (cc) ,593
Stair Part Type ,593
Core Type ,590
Number of Hinges ,584
Chair Type ,580
Sink Included Components ,580
Power Source ,574
Skid Resistant ,573
Orientation ,564
Toilet Features ,560
Cabinet Collection ,559
Width x Height x Depth ,557
Defrost Type ,556
Minimum working temperature (F) ,555
Exterior bath shape ,554
Product Style ,553
Safety & Security Product Type ,553
Maximum Number of Occupants ,551
Fits Faucet Brand ,550
Faucet mount ,549
Kits ,544
Substrate/Surface Use Type ,542
Depth (Excluding Handles) ,541
Depth (Including Handles) ,541
Primer required ,541
Height to Top of Door Hinge ,539
Cut-Out Height (in.) ,537
Backset size (in.) ,533
Number of Tiers ,532
Power Distribution Features ,532
Surface Type ,532
Underground rated ,532
Mark Resistant ,530
Width ,530
Capacity (cu. Ft.) - Total ,528
General Features ,527
Operational Features ,527
Shank Style ,527
Storage Features ,527
Tub Depth (in.) ,527
Tub Height (in.) ,527
Tub Length (in.) ,527
Tub Width (in.) ,527
Container Height (in.) ,526
Container Width (in.) ,526
Mounting Type ,526
Fencing Product Type ,525
Oven Settings ,522
Box Material ,520
Cleaning Features ,520
HUD Approved ,520
Interior Cabinet Depth (in.) ,520
Light ,520
Overlay Type ,520
Preconfigured ,520
Shelf Thickness (in.) ,520
Toe Kicks Included ,520
Number of Batteries Included ,517
Finished End ,514
Case Included ,512
Tub Features ,510
Tub Installation Type ,509
Battery Amp Hours ,504
Sell Pack Options ,504
Depth (Less Door) ,503
Electronics Features ,499
Number of Compartments ,498
Glass Caming Finish ,495
Engine Make ,494
Actual product thickness (in.) ,487
Actual product width (in.) ,487
Bullet21 ,486
Saw Blade Material ,485
Number of Conductors ,484
Mounting Hardware Included ,483
Number of Fan Speeds ,483
California Title 20 Compliant ,482
Heating Product Type ,482
Freezer Features ,481
Housing Color Family ,478
Corrosion Resistant ,476
Primed ,476
Number of Outlets ,474
Handle Type ,470
Airflow (CFM) ,469
Applicator/Tool Type ,468
Coiled ,468
Heating Technology Type ,467
Lockable ,467
Mount Location ,464
Fuel tank capacity (gallons) ,462
Capacity (cu. Ft.) - Freezer ,461
Shade Material ,460
Valve Inlet Diameter (in.) ,460
Valve Outlet Diameter (in.) ,460
Board Form ,458
Ice Maker Features ,458
Fabric Type ,457
Pattern Style ,457
Knob diameter (in.) ,456
Drain Included ,453
Cleaning Tool Type ,449
Pendant Type ,448
Trip Lever Location ,445
Wall Plate Material ,445
Air Tool Type ,443
Fits Opening Height (in.) ,442
Water repellent ,442
Blade Color Family ,441
Fan Blade Length (In.) ,441
Fan Blade Width (In.) ,441
Fits Opening Width (in.) ,441
Wall Plate Deco Style ,439
Cooktop Features ,436
Cooktop Surface Type ,436
Removable Shelves ,436
Corded Tool Type ,435
Number of Housings Included ,435
Water Filter Replacement Model# ,435
Downrod Length (in.) ,433
Table Shape ,428
Capacity (gallons) ,427
Wall Plate Included ,427
Motor Speed (RPM) ,426
Refrigeration Dispenser Features ,426
Refrigerator Width (In.) ,426
Valve material ,426
Color - Appliance Cabinet ,425
Color - Door Handle(s) ,425
Convection ,425
Kitchen Faucet Type ,425
Number of Fresh Food Shelves ,425
Oven Cleaning Options ,424
Grounded ,423
Height to Top of Refrigerator (in.) ,423
Shelf Material - Refrigerator ,423
Temperature Control Type ,423
Ceiling Fan Width (in.) ,421
Dual Fan Heads ,421
Maximum Pressure (PSI) ,421
Pull Chain ,421
Reverse Airflow ,421
Reversible Two-Sided Blades ,421
Container Length (in.) ,420
Capacity (cu. ft.) - Refrigerators ,419
Mounting Options ,419
Vent Type ,409
Fits brands ,407
Inner bowl side to side width (in.) ,407
Casters ,406
Harp Style ,406
Inner bowl front to back length (in.) ,406
Number of Freezer Shelves ,406
Square Feet per Box (sq.ft.) ,406
Automatic shutoff ,405
Tool Storage Product Type ,405
Primary Switch Type ,403
Cleaning Type ,402
Pest Type ,402
Switch Mechanism ,402
Wall Plate Configuration ,401
Base Color/Finish Family ,399
Damp/Wet Rating ,399
Number of pieces included ,398
Value Pack ,398
Cap/top included ,397
Bit Diameter ,395
Hypoallergenic ,395
Reflective ,394
Light Direction ,393
Number of Burners ,393
Application type ,392
Compatible conduit type ,392
Fitting type ,392
Maximum Weight Capacity (lb.) ,392
Pipe Size ,392
Bowl Below Counter Height (in.) ,391
Filter Type ,391
Packaging Type ,390
Projection ,388
Downdraft Exhaust ,387
Actual inside diameter (in.) ,386
Actual outside diameter (in.) ,386
Min Chuck Size Required ,384
Pipe & Tubing Product Type ,384
Recommended function ,384
Wrapped ,384
Approximate Depth (ft.) ,382
Approximate Width (ft.) ,382
Bend Degree ,382
Nail Gauge ,382
Capacity of Oven (cu. ft.) ,381
Outside Width (in.) ,381
Oven Racks ,381
Battery Type Required ,380
Gloss ,380
Fits models ,379
Interior Paint & Stains Product Type ,379
Safety Features ,379
Sealer ,379
Self-Feeding ,379
Timer Included ,378
Counter Depth (Yes/No) ,377
Capacity (cu. Ft.) - Fresh Food ,375
Minimum Temperature (F) ,372
Window Type ,372
Arbor Size ,365
Cable/Wire Type ,365
Drill & Router Bit Type ,365
Allowable Ampacities ,364
Termite Resistant ,364
Wire/Cable Length (ft.) ,364
Irrigation System Component ,363
Shade Shape ,363
Stranded or Solid ,363
Showerhead type ,362
Energy Consumption (kWh/year) ,359
Ice/Water Dispenser ,359
Wire Cut Type ,359
Wet Location Use ,358
Compatible Appliance Type ,357
Compressor/Air Tool Features ,357
Door Finish ,357
Freezer Door Type ,357
Ice Maker ,357
Shelf Material - Freezer ,357
Strike height (in.) ,357
Strike width (in.) ,357
Area Heated (Sq. Ft.) ,356
Cushion Color Family ,356
Where to Use ,356
Light Bulb Color ,353
Garden Center Tool Type ,351
Heater included ,349
Sunlight / UV Resistant ,349
Pre-Lit ,348
Stain Type ,348
Steam Function ,347
Outer Color ,345
Total number of keys included ,345
Concrete Use ,344
Deck Use ,344
Fixture Material ,344
Use ,343
Dishwasher Safe ,342
Strike ,342
Conductor Material ,341
Jacketed ,340
Power/Fuel Type ,340
Concentrated or Ready to Use ,338
Drilling Depth (in) ,337
Bit Length (in.) ,336
Number in Pack ,336
Number of showerheads ,336
Part Type ,336
Commercial Light Type ,335
Connection 1 ,335
Pack Size ,335
Connection 2 ,334
Gallons Per Flush ,333
Conductor Gauge ,332
Wall Decor Product Type ,332
Density ,330
Mounting ,330
Oven Features ,330
Number of coats recommended ,329
Head Type ,328
Safe for Edibles ,328
Shank Diameter ,328
Center to Center Measurement (inches) ,327
Convection Type ,327
Fastener head width (in.) ,327
Color of Cooktop ,326
Nail Length (In.) ,326
Range Size ,326
Range Type ,326
Broiler Location ,325
Center to Center Measurement (mm) ,325
Thickness (In.) ,325
Sink Gauge ,323
Lined ,322
Flushing Technology ,321
Minimum window depth required (in.) ,321
Surface ,321
Built-in flange ,320
Number of Teeth ,320
Item Package UOM ,318
Telescoping ,318
Exhaust Vent Location ,316
Mirror Height (in.) ,316
Mirror Mount Location ,316
Mirror Width (in.) ,316
Recycled Materials (%) ,316
Maximum coverage area (sq. ft.) ,315
Flushing Mechanism ,314
Shower Base Type ,314
Inner Bowl Front to Back Width (in.) ,313
Inner Bowl Left to Right Length (in.) ,313
Threshold Height (in.) ,313
Bulb Finish ,312
Cabinet Pull Type ,312
Door Design ,312
Dries clear ,312
Deco Style ,310
Flammable ,310
Shielded ,310
Inside Diameter ,309
Nail Type ,309
U-Factor ,309
Hardware Color/Finish Family ,308
Direct Burial ,307
Pull Length (in.) ,307
Jamb Depth (in.) ,306
Window Use Type ,306
Aperture width (in.) ,305
Light Control ,305
Enclosure Type ,303
Opening type ,303
Hose length (in.) ,302
Left Inner Bowl Below Counter Depth (in.) ,302
Right Inner Bowl Below Counter Depth (in.) ,302
Landscape Lighting Application ,301
Left Inner Bowl Left to Right Length (in.) ,301
Lighting Kit ,301
Right Inner Bowl Left to Right Length (in.) ,301
Arched ,300
Bowl Shape ,300
Clothing Product Type ,300
Engine Type ,300
Front Color ,300
Product type ,300
Cleanup ,299
Cushion and Pillow Features ,299
Cushion Seat Depth (in.) ,299
Cushion Seat Width (in.) ,299
Cushion Style ,299
Cushion Thickness (in.) ,299
Safe for Pets ,299
Adjustable ,298
Chuck Type ,298
Insulation R-Value ,298
One Piece/Two Pieces ,298
Dimmable ,297
Recommended Light Bulb Shape Code ,297
Decibel Rating ,296
HVAC application ,296
Nominal Product Length (ft.) ,296
Pressure Treated ,295
Glazing Type ,294
Grid Pattern ,294
Grid Width (in.) ,294
Mirror type ,294
Adjustable Height ,293
Diverter type ,293
Fire retardant ,293
Panel Assembly ,293
Tabletop Material ,293
Number of Locks ,291
Terrain ,290
Interior Color/Finish Family ,289
Durability ,288
Rough In Size ,288
Number of Poles ,287
Bullet19 ,286
Exterior Color/Finish Family ,286
Lever grip length (in.) ,286
Lever style ,286
Safety Listing ,286
Seat Width (in.) ,286
Bowl Height (in.) ,285
Installation Location ,285
Pre-Cut or True-to-Size Blind ,285
Blade width (in.) ,284
Appliance Series ,283
Throw length (in.) ,282
"Sanding, Grinding and Polishing Accessory Type ",281
Seat Depth (in.) ,280
Tools Included ,280
Light Functions ,279
Pattern type ,279
Heater Type ,278
Nominal product width (in.) ,278
Used with equipment type ,278
Fixture Finish ,277
Flush Valve Size (in.) ,276
Hanging method ,276
Solar Heat Gain Coefficient ,276
Approximate Size (WxL) ,275
Chuck Size ,275
DCOF Rating ,275
Air Filter Depth (in.) ,274
Air Filter Features ,274
Air Filter Size ,274
Air Filter Type ,274
Botanical Name ,274
Faucet accommodations ,274
Filter Performance Rating (FPR) ,274
Number of Jets ,274
Dry time (hours) ,273
Louvered ,273
Outside Length ,273
Professional Paint Supplies & Values ,273
Knob style ,272
Nominal Product H x W (In.) ,271
Pre-Cut Deduction (in.) ,270
Actual Blind/Shade Width (In.) ,269
Grill/Smoker Fuel Type ,269
Roofing Product Type ,269
Shower Height (in.) ,269
Shower Width (in.) ,269
Pet Size ,268
Shower Depth (in.) ,268
Edge Thickness (cm.) ,267
Number of Lights ,267
Air Conditioner Product Type ,266
Actual Product Depth (in.) ,265
Actual Product Height (in.) ,265
Actual Product Width (in.) ,265
Air Filter Height (in.) ,265
Air Filter Width (in.) ,265
Filter Frame Material ,265
Filter Material ,265
Number of Phases ,265
Window Repair Type ,265
Accessory type ,264
Thermostat ,264
Vinyl coated ,264
Antivibration ,263
Blade Diameter ,263
Longevity (months) ,263
MERV Rating (Minimum Efficiency Reporting Value) ,263
Mounting Style ,262
Planter Features ,262
Strainer Basket Included ,262
Tool Set Type ,262
Trim Type ,261
Maximum Temperature  (F) ,260
Overflow location ,260
Water Connection Location ,260
Water Connection Size (in.) ,260
Nominal Product Length (in.) ,259
Nominal Width ,259
Track lighting configuration ,259
Cross bore diameter (in.) ,258
Caulkless ,257
Hinge type ,256
Shaft length (in.) ,256
Slat/vane width (in.) ,256
Breathable ,255
Pattern name ,255
Scrubbable ,255
Strippable ,255
Vacuum clean ,255
Blade Material ,254
Fixture finish family ,253
Inlet Size ,252
Outlet Size ,252
Rechargeable ,252
Base Width (in.) ,251
Exact Width x Depth ,251
Scent ,251
Set Includes ,251
Package Contents ,249
Seating Capacity ,249
UV/sunlight resistant ,249
Collation material ,248
Water Heater Features ,248
Flushing Type ,247
MaP Performance Rating ,247
Range of Motion ,247
Structure type ,247
Adhesion level ,246
Detection Range (ft.) ,246
Table Length (in.) ,246
Table Width (in.) ,246
Washable/Reusable ,246
Decorative Accessory Product Type ,245
Wheel Diameter (in.) ,245
Dishwasher Safe Parts ,244
Fencing Style ,244
Lever material ,244
Replaceable Head ,244
Air Volume (CFM) ,243
Electronics Included Components ,243
Pattern Match Length (in.) ,243
Pattern Match Width (in.) ,243
Chandelier Type ,242
Commercial Hardware Type ,242
Vinyl Surface Type ,242
Accessories Included ,239
Bowl Height ,239
Carpet Type ,239
Face Weight (oz./ sq.yd.) ,239
Flame Retardant ,239
Padding Attached ,239
Roll/Tile ,239
Yarn Gauge (in.) ,239
Attached shelf ,238
Hardiness Zone ,238
Magnifying ,238
Number of posts included ,238
Swivel ,238
Grill Color Family ,236
Fence Application ,235
Burner Grate Material ,234
Burner No.1 BTU ,234
Burner No.2 BTU ,234
Burner No.3 BTU ,234
Burner No.4 BTU ,234
Burner No.5 BTU ,234
Burner No.6 BTU ,234
Cooking space (sq. in.) ,234
Oil capacity (oz.) ,234
Carpet Style Type ,233
PAR Rating ,233
Siding Color Family ,233
Base Length (in.) ,232
Blossom Color ,232
Drapery Hardware Product Type ,230
Knob material ,230
Swivel Lock ,230
Tube Diameter (in.) ,230
Electronic ,229
Floor Options ,229
Knob cross bore diameter (in.) ,229
Installation Method ,227
Energy Type ,226
Knob housing height (in.) ,226
Knob housing width (in.) ,226
Base Height (in.) ,225
Mature Height (in.) ,225
Mature Width (in.) ,225
Sandable ,225
Built-In Shower Seat ,224
Installation Hardware Included ,224
Filtration method ,223
"Maintenance, Repair & Supplies Product Type ",223
Number of Spaces ,223
Capacity of Microwave (cu. ft.) ,222
Motion Sensing ,222
Hose Diameter (In.) ,221
Number of Power Levels ,221
Part/Accessory Type ,221
Adjustable Detection Sensitivity ,220
Padding Included ,220
Square Feet per Piece ,220
Table Top Material ,220
AC Rating ,219
Door Swing/Style ,219
Chair Height Type ,218
Padding Required? ,218
Glue Down Allowed? ,217
Cutting Width (in.) ,216
Lawn Mower Type ,216
Maximum cutting height (in.) ,216
Microwave Door Release ,216
Microwave Features ,216
Minimum cutting height (in.) ,216
Rear wheel size (in.) ,216
Size of Yard ,216
"Tarps, Drop Cloths & Plastic Sheeting Product Type ",216
Turntable ,216
Carpet Fiber ,215
Carpet Width (ft.) ,215
Concrete Type ,215
Default Pad ,215
Fitting material ,215
Grill Material ,215
Biodegradable ,214
Roll area (sq. ft.) ,214
Adhesive backing ,213
Coverage Area (sq. ft./case) ,213
Mulching Capability ,213
Adhesive Product Type ,211
Contact Type Allowed ,211
Extension length (in.) ,211
Grill Assembly ,211
High Temperature Resistance ,211
Maximum Fastener Size ,211
Minimum Fastener Size ,211
Mounting Method ,211
Wheel Material ,211
Faucet Finish ,210
Grill Features ,210
Minimum Length (In.) ,210
Number of basins ,210
Flame retardant ,209
Maximum Length (In.) ,209
Width (in.) ,209
Comfort ,208
Keyless/keyed blade change ,208
Roof Color Family ,208
Shutter Height (in.) ,208
Shutter Width (in.) ,208
Stackable ,208
Vented or Vent-Free ,208
Required door thickness (in.) ,206
Teeth Per Inch ,206
Tip count ,206
Seat Shape ,205
Ceiling Product Type ,204
Load Center Type ,204
Portable ,204
Rod/Pole Type ,204
Angle (Degrees) ,203
Bit diameter (in.) ,203
Element No.1 Size (In.) ,202
Element No.1 Type ,202
Element No.1 Wattage ,202
Element No.2 Size (In.) ,202
Element No.2 Type ,202
Element No.2 Wattage ,202
Element No.3 Size (In.) ,202
Element No.3 Type ,202
Element No.3 Wattage ,202
Element No.4 Size (In.) ,202
Element No.4 Type ,202
Element No.4 Wattage ,202
Element No.5 Size (In.) ,202
Element No.5 Type ,202
Element No.5 Wattage ,202
Element No.6 Size (In.) ,202
Element No.6 Type ,202
Element No.6 Wattage ,202
Maximum Product Length (in.) ,202
Number of Elements ,202
Ladder Type ,201
Load center depth (in.) ,201
Load center height (in.) ,201
Load center width (in.) ,201
Push-to-Fit ,201
Shatter Resistant ,200
Voltage Type ,200
Additional Characteristics ,199
Number of One-Touch Settings ,199
Roof Pitch ,199
Turntable Diameter ,199
Assembled weight (lbs) ,198
Number of Windows ,198
UV Protection ,198
Hidden Bake Element ,197
Pedestal Model# ,197
Wired or Wireless ,197
Art Classification ,196
Grill Grate Material ,196
LowE rating ,196
Stacking Kit Model# ,196
Box Type ,195
Mattress Size ,195
Number of Knockouts ,195
Bidet/Toilet Seat Type ,194
Shed Features ,194
Tile Tool Type ,194
Door Opening Width (ft.) ,193
Package Size (lb.) ,193
Shed Door Type ,193
Shower Type ,193
Sidewall Height (in.) ,193
Beveled frame ,192
Center to center measurement (in.) ,192
Load weight capacity ,192
Set Time (Min.) ,192
Front Type ,190
Loading type ,190
Longevity (weeks) ,190
Moss control ,190
Pre-emergent weed control ,190
Season use ,190
Water Soluble ,190
Christmas Indoor Decor Product Type ,189
Engine Cycles ,189
Lighting Included ,189
Metallic/Non-Metallic ,189
Number of Steps ,189
Rod Diameter (In.) ,189
Tank Capacity (gallons) ,189
Deadbolt Type ,188
Patching & Repair Product Type ,188
Shutter Size ,188
Under Cabinet Light Type ,188
Bolt Spread (in.) ,187
Cord Length (in.) ,187
Vanity Height (in.) ,187
BTU Cooling Rating ,186
Knob height (in.) ,186
Knob Projection (in.) ,186
Number of Light Bulbs ,186
Sensor Cook ,186
Deadbolt bore hole diameter (in.) ,185
Deadbolt cross bore diameter (in.) ,185
Deadbolt strike ,185
Deadbolt strike height (in.) ,185
Deadbolt strike width (in.) ,185
Deadbolt throw length (in.) ,185
Deadbolt trim ring diameter (in.) ,185
Drillable ,185
Filter light reminder ,185
Insulation Type ,185
Sleep setting ,185
Texture ,185
Broiler Burner Rating (BTU) ,184
Jet type ,184
Number of jet settings ,184
Attachment capable ,183
Handle Included ,183
Housing depth (in.) ,183
Shoulder harness/strap ,183
Tank Valve Size (in.) ,183
Trimmer Type ,183
Water Heater Profile ,183
Duty Rating ,182
Pressure Rating ,182
Dry Cycles ,181
Dryer Features ,181
Surveillance Features ,181
Sun Tolerance ,180
Nominal Product Height (In.) ,179
In-Store Availability ,178
Nailgun Angle ,178
Threaded ,178
Nonslip tread ,177
Rung/Step Depth ,177
Step rise (in.) ,177
Surveillance Included ,177
Actual post height (in.) ,176
Actual post thickness (in.) ,176
Actual post width (in.) ,176
Bench & Stationary Tool Type ,176
Knob Shape ,176
Mold and mildew resistant ,176
Opacity ,176
Solvent resistant ,176
Total BTU ,176
Cooking Accessory Type ,175
Frame finish family ,175
Ladder Rating ,175
Radius (in.) ,175
Shipped As ,175
Edge Type ,174
Metal Stock Type ,174
Outlet Type ,174
Pin type ,174
Bag Capacity/Dry Volume (cu. ft.) ,173
Capacity - Dryer (cu. ft.) ,173
Diameter (in.) ,173
Lint Filter Location ,173
Number of Drying Cycles ,173
Number of Drying Temperatures ,173
Pole Diameter (in.) ,173
Actual Tree Height (ft.) ,172
Caulk Type ,172
Air direction/circulation ,171
Hook Type ,171
Number of cool settings ,171
Seed Type ,171
Approximate Width (in.) ,170
Color/Pattern ,170
Adjustable jet direction ,169
Adjustable jet flow ,169
Grounding ,169
Headlights ,169
Maximum Roof Load (lb./ sq. ft.) ,169
Maximum Wind Resistance (mph) ,169
Number of Pieces per Case ,169
Number of rails for panels ,169
